Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=HVAC Heating Type	Dependency=HVAC Secondary Heating Type	Option=No	Option=Yes	Option=Void	source_count	source_weight	sampling_probability
Central AC	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Central AC	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Central AC	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Central AC	None	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	None	Ducted Heat Pump	Ducted Heating	0	1	0	0	0	6.22266e-07
Evaporative or Swamp Cooler	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	None	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	None	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
None	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
None	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
None	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
None	None	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Room AC	Cooling Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Room AC	Heating Only	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Room AC	Heating and Cooling	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Room AC	None	Ducted Heat Pump	Ducted Heating	0	0	1	0	0	0
Central AC	Cooling Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Central AC	Heating Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Central AC	Heating and Cooling	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Central AC	None	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Cooling Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Heating Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Heating and Cooling	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	None	Ducted Heat Pump	Non-Ducted Heating	0	1	0	0	0	8.46947e-06
Evaporative or Swamp Cooler	Cooling Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating and Cooling	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	None	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Cooling Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating and Cooling	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	None	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
None	Cooling Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
None	Heating Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
None	Heating and Cooling	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
None	None	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Room AC	Cooling Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Room AC	Heating Only	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Room AC	Heating and Cooling	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Room AC	None	Ducted Heat Pump	Non-Ducted Heating	0	0	1	0	0	0
Central AC	Cooling Only	Ducted Heat Pump	None	0	0	1	0	0	0
Central AC	Heating Only	Ducted Heat Pump	None	0	0	1	0	0	0
Central AC	Heating and Cooling	Ducted Heat Pump	None	0	0	1	0	0	0
Central AC	None	Ducted Heat Pump	None	0	0	1	0	0	0
Ducted Heat Pump	Cooling Only	Ducted Heat Pump	None	0	0	1	47	451720	0
Ducted Heat Pump	Heating Only	Ducted Heat Pump	None	0	0	1	18	181554	0
Ducted Heat Pump	Heating and Cooling	Ducted Heat Pump	None	0	0	1	48	436437	0
Ducted Heat Pump	None	Ducted Heat Pump	None	0	1	0	1874	1.32488e+07	0.153745
Evaporative or Swamp Cooler	Cooling Only	Ducted Heat Pump	None	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating Only	Ducted Heat Pump	None	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating and Cooling	Ducted Heat Pump	None	0	0	1	0	0	0
Evaporative or Swamp Cooler	None	Ducted Heat Pump	None	0	0	1	2	9970.17	0
Non-Ducted Heat Pump	Cooling Only	Ducted Heat Pump	None	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	Ducted Heat Pump	None	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating and Cooling	Ducted Heat Pump	None	0	0	1	2	14232.5	0
Non-Ducted Heat Pump	None	Ducted Heat Pump	None	0	0	1	5	54053.1	0
None	Cooling Only	Ducted Heat Pump	None	0	0	1	0	0	0
None	Heating Only	Ducted Heat Pump	None	0	0	1	13	114050	0
None	Heating and Cooling	Ducted Heat Pump	None	0	0	1	0	0	0
None	None	Ducted Heat Pump	None	0	0	1	133	997311	0
Room AC	Cooling Only	Ducted Heat Pump	None	0	0	1	1	16229.6	0
Room AC	Heating Only	Ducted Heat Pump	None	0	0	1	17	160759	0
Room AC	Heating and Cooling	Ducted Heat Pump	None	0	0	1	2	14619.5	0
Room AC	None	Ducted Heat Pump	None	0	0	1	56	431964	0
Central AC	Cooling Only	Ducted Heating	Ducted Heating	0	1	0	0	0	9.53628e-08
Central AC	Heating Only	Ducted Heating	Ducted Heating	0	1	0	0	0	6.34577e-08
Central AC	Heating and Cooling	Ducted Heating	Ducted Heating	0	1	0	0	0	1.50099e-07
Central AC	None	Ducted Heating	Ducted Heating	0	1	0	0	0	9.70124e-07
Ducted Heat Pump	Cooling Only	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Heating Only	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	Heating and Cooling	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Ducted Heat Pump	None	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Cooling Only	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating Only	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	Heating and Cooling	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Evaporative or Swamp Cooler	None	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Cooling Only	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating Only	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	Heating and Cooling	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Non-Ducted Heat Pump	None	Ducted Heating	Ducted Heating	0	0	1	0	0	0
None	Cooling Only	Ducted Heating	Ducted Heating	0	0	1	0	0	0
None	Heating Only	Ducted Heating	Ducted Heating	0	1	0	0	0	1.94014e-07
None	Heating and Cooling	Ducted Heating	Ducted Heating	0	0	1	0	0	0
None	None	Ducted Heating	Ducted Heating	0	1	0	0	0	1.00077e-05
Room AC	Cooling Only	Ducted Heating	Ducted Heating	0	0	1	0	0	0
Room AC	Heating Only	Ducted Heating	Ducted Heating	0	1	0	0	0	1.69678e-07
Room AC	Heating and Cooling	Ducted Heating	Ducted Heating	0	0	1	0	0	0
