Dependency=Geometry Building Type RECS	Dependency=Geometry Stories Low Rise	Option=Finished Attic or Cathedral Ceilings	Option=None	Option=Unvented Attic	Option=Vented Attic
Mobile Home	1	0	1	0	0
Mobile Home	2	0	1	0	0
Mobile Home	3	0	1	0	0
Mobile Home	4+	0	1	0	0
Multi-Family with 2 - 4 Units	1	0	1	0	0
Multi-Family with 2 - 4 Units	2	0	1	0	0
Multi-Family with 2 - 4 Units	3	0	1	0	0
Multi-Family with 2 - 4 Units	4+	0	1	0	0
Multi-Family with 5+ Units	1	0	1	0	0
Multi-Family with 5+ Units	2	0	1	0	0
Multi-Family with 5+ Units	3	0	1	0	0
Multi-Family with 5+ Units	4+	0	1	0	0
Single-Family Attached	1	0	0.333333	0.333333	0.333333
Single-Family Attached	2	0.25	0.25	0.25	0.25
Single-Family Attached	3	0.25	0.25	0.25	0.25
Single-Family Attached	4+	0	1	0	0
Single-Family Detached	1	0	0.333333	0.333333	0.333333
Single-Family Detached	2	0.25	0.25	0.25	0.25
Single-Family Detached	3	0.25	0.25	0.25	0.25
Single-Family Detached	4+	0	1	0	0
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: The dwelling unit attic type.
